名稱,分類,次分類,定位地址,回報地址,X坐標,Y座標,來源
西屯區-民營-永隆大遠百停車場,公共建設,停車場地,,,213825.6493,2673139.932,Open data
南屯區-民營-驛馬棧停車場,公共建設,停車場地,,,213935.0103,2672187.19,Open data
西區-民營-Times台中公益路停車場,公共建設,停車場地,,,215224.9444,2671917.068,Open data
西區-公有-萬壽棒球場平面停車場,公共建設,停車場地,,,214430.5949,2671242.341,Open data
南屯區-BOT-迪卡儂大墩南停車場,公共建設,停車場地,,,214416.4857,2669663.064,Open data
大雅區-中科-中科管理局地下停車場,公共建設,停車場地,,,211248.2674,2678199.24,Open data
西屯區-榮總-臺中榮民總醫院附設停車場,公共建設,停車場地,,,209971.4364,2675683.162,Open data
北區-體大-教學大樓地下停車場,公共建設,停車場地,,,218262.6736,2671555.566,Open data
北區-生管-五義停車場,公共建設,停車場地,,,217878.1079,2672269.666,Open data
南屯區-經發局-臺中市小康公有零售市場附屬停車場,公共建設,停車場地,,,212420.5814,2672087.003,Open data
烏日區-中捷-捷運九德站轉乘停車場,公共建設,停車場地,,,212804.5736,2667362.45,Open data
烏日區-中捷-捷運烏日站轉乘停車場,公共建設,停車場地,,,211919.7264,2667198.659,Open data
南區-運動局-長春國民暨兒童運動中心附設汽車停車場,公共建設,停車場地,,,217526.4866,2669590.291,Open data
潭子區-民營-台灣聯通潭子勝利停車場,公共建設,停車場地,,,219507.2478,2678500.273,Open data
南區-民營-千代田停車場,公共建設,停車場地,,,216946.7341,2669415.53,Open data
烏日區-民營-城市車旅-高鐵五路站停車場,公共建設,停車場地,,,210945.9476,2667977.659,Open data
西屯區-民營-博客停車場開發股份有限公司藏壽司福科場停車場,公共建設,停車場地,,,212052.7651,2675154.7,Open data
南屯區-民營-豐富停車場,公共建設,停車場地,,,214254.5415,2669933.702,Open data
北屯區-民營-博客停車場開發股份有限公司藏壽司中清場停車場,公共建設,停車場地,,,215772.8162,2675766.57,Open data
東區-民營-南京租賃-南京路停車場,公共建設,停車場地,,,218270.6787,2670587.585,Open data
東區-民營-南京租賃-大智北路停車場,公共建設,停車場地,,,218250.293,2670561.051,Open data
西屯區-民營-傑生停車場(第二場),公共建設,停車場地,,,213749.9471,2675331.903,Open data
南區-民營-城市車旅-復興站停車場,公共建設,停車場地,,,215704.8023,2668622.167,Open data
西屯區-民營-愛買水湳停車場,公共建設,停車場地,,,215347.4668,2676321.361,Open data
北屯區-民營-嘟嘟房台中崇德五路站停車場,公共建設,停車場地,,,217741.7142,2674859.339,Open data
西屯區-民營-好停車場(第二場),公共建設,停車場地,,,213770.0974,2675265.4,Open data
西屯區-民營-傑生停車場(第一場),公共建設,停車場地,,,213841.3943,2675334.992,Open data
中區-民營-Times台中綠川東街停車場,公共建設,停車場地,,,217690.4611,2670185.757,Open data
南區-民營-明通下橋子停車場,公共建設,停車場地,,,215837.2558,2668752.535,Open data
南區-民營-南文心停車場,公共建設,停車場地,,,215163.4891,2667564.702,Open data
東區-民營-Times台中振興路停車場,公共建設,停車場地,,,218493.2939,2670146.303,Open data
西屯區-民營-Times壽司郎台中福科路店停車場,公共建設,停車場地,,,213149.4328,2674915.912,Open data
西屯區-民營-Times台中文心路停車場,公共建設,停車場地,,,214578.0825,2673334.068,Open data
北屯區-民營-Times思夢樂台中北屯路店停車場,公共建設,停車場地,,,219365.8424,2674161.335,Open data
南屯區-民營-Times壽司郎台中黎明市政南店停車場,公共建設,停車場地,,,212777.6574,2672620.995,Open data
西區-民營-Times台中大和路停車場,公共建設,停車場地,,,216393.086,2671693.867,Open data
北區-民營-台中國軍總醫院中清停車場,公共建設,停車場地,,,216701.2277,2673089.716,Open data
北屯區-民營-好市多北台中店停車場,公共建設,停車場地,,,220304.1579,2675851.623,Open data
南屯區-民營-Times思夢樂台中五權西路店停車場,公共建設,停車場地,,,213088.1004,2670857.021,Open data
太平區-民營-Times台中太平東平路停車場,公共建設,停車場地,,,222009.5307,2669967.295,Open data
南屯區-民營-豐邑文心停車場,公共建設,停車場地,,,214080.8926,2669590.81,Open data
北屯區-民營-城市車旅-敦富站停車場,公共建設,停車場地,,,220141.1112,2675616.064,Open data
西屯區-民營-福星北二停車場,公共建設,停車場地,,,213922.8615,2675408.989,Open data
西屯區-民營-聯永物業股份有限公司台中三十站停車場,公共建設,停車場地,,,214316.2936,2674292.725,Open data
北屯區-民營-城市車旅-東山站地下停車場,公共建設,停車場地,,,219680.0903,2673817.333,Open data
中區-民營-新長越公園路停車場,公共建設,停車場地,,,217449.1655,2671335.901,Open data
烏日區-民營-五都停車場烏日啤酒站停車場,公共建設,停車場地,,,211077.2083,2667652.799,Open data
南屯區-民營-林億停車場,公共建設,停車場地,,,213405.0971,2671611.528,Open data
南區-民營-富宇擎山室內停車場,公共建設,停車場地,,,215418.8436,2668066.889,Open data
北屯區-民營-城市車旅-北屯軍福站停車場,公共建設,停車場地,,,221682.8497,2674348.13,Open data
北區-民營-城市車旅-雙十站停車場,公共建設,停車場地,,,218109.8041,2671363.201,Open data
