編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%)
109,D08BB0008,臺南市中西區中正段194地號,216000,104.83,長方形4.5:23.1,商四(1)商業區,80,320,臺南市中西區民生路二段79號,透天留香居,1.86
110,D08BB0009,臺南市中西區永福段645地號,191000,77.4,長方形4.2:18.4,「商四(1)」商業區,80,320,臺南市中西區永福路二段142-1號,透天My賣飲料,0.64
111,D08BB0010,臺南市中西區星鑽段1923地號,191000,85.5,長方形4.7:18.3,「商四(1)」商業區,80,320,臺南市中西區康樂街191號,透天住家用,1.12
112,D08BB0014,臺南市中西區廣慈段65地號,391000,96.36,長方形4.8:20.1,「商四(1)」商業區,80,320,臺南市中西區北門路一段145號,透天深白服飾店,1.65
113,D08BB0016,臺南市中西區新美段95地號、新美段96地號、新美段97地號、新美段98地號,270000,99.4,長方形6.9:14.5,「商四(1)」商業區,80,320,臺南市中西區民族路二段373號,透天道 足底養生館,1.94
114,D08BB0017,臺南市中西區廣慈段145地號,479000,4366.03,不規則形17.0:109.0,「商四(1)」商業區,80,320,臺南市中西區中山路162號,透天新光三越中山店,1.15
115,D09BA0002,臺南市新營區民治段538地號,100000,117.12,長方形4.9:23.9,住宅區,60,200,臺南市新營區三民路106之12號,透天樂恩聯合診所,2.15
116,D09BB0001,臺南市新營區民權段1126地號,164000,81.91,長方形4.2:19.5,商業區,80,320,臺南市新營區民權路18號,透天大福帆布行,1.31
117,D09BD0005,臺南市新營區嘉芳段47地號,43000,2232,長方形37.2:60.0,乙種工業區,70,210,臺南市新營區復興路1129號,透天顏氏興業有限公司,5.19
118,D09BF0006,臺南市新營區新卯舍段388地號,11800,2066.03,長方形25.8:80.0,農業區,0,0,,素地,2.63
119,D10BA0001,臺南市鹽水區朝琴段75地號,66900,84.72,長方形4.8:17.7,住宅區,60,180,臺南市鹽水區朝琴路85號,透天住家用,2.79
120,D10BB0001,臺南市鹽水區朝琴段670地號,67500,101.39,長方形4.5:22.5,商業區,80,240,臺南市鹽水區三福路76號,透天商行,0
121,D10BB0002,臺南市鹽水區朝琴段361地號,80800,57.48,長方形3.8:15.1,商業區,80,240,臺南市鹽水區朝琴路3之1號,透天銀樓,0.38
122,D10BD0003,臺南市鹽水區竹圍尾段38-1地號,32100,4346,梯形43.5:100.0,乙種工業區,70,210,臺南市鹽水區五福路156號,透天台灣銅業科技(股)公司,2.91
123,D10BF0004,臺南市鹽水區鹽水段1616-2地號,11900,505,長方形13.8:36.6,農業區,0,0,,素地,1.55
124,D11BA0001,臺南市柳營區柳南段8地號,38400,96.18,長方形4.0:24.0,住宅區,60,200,臺南市柳營區中山西路二段87號,透天愛迪兒安親才藝班,3.25
